TCRD ID	TDL	IDG_Family	IDG_Family_Extended	Name	UniProt
90	Tdark			ABEC4_HUMAN	Q8WW27
91	Tbio	Enzyme	AB_hydrolase_superfamily	ABHD3_HUMAN	Q8WU67
92	Tdark			ABI3_HUMAN	Q9P2A4
93	Tbio			ABLM1_HUMAN	O14639
94	Tbio	Enzyme	acyl-CoA dehydrogenase	ACAD8_HUMAN	Q9UKU7
95	Tbio	Enzyme	acyl-CoA dehydrogenase	ACADL_HUMAN	P28330
96	Tdark			ACAP3_HUMAN	Q96P50
97	Tbio	Transporter	SLC33A_transporter	ACATN_HUMAN	O00400
98	Tbio			ACBD6_HUMAN	Q9BR61
99	Tbio	Enzyme	acyl-CoA dehydrogenase	ACD11_HUMAN	Q709F0
100	Tbio			1A26_HUMAN	P30450
101	Tbio			1A30_HUMAN	P16188
102	Tbio			1A32_HUMAN	P10314
103	Tbio			1A68_HUMAN	P01891
104	Tbio			1B07_HUMAN	P01889
105	Tbio			1B13_HUMAN	P30461
106	Tbio			1B27_HUMAN	P03989
107	Tbio			1B37_HUMAN	P18463
108	Tbio			1B40_HUMAN	Q04826
109	Tbio			1B44_HUMAN	P30481
110	Tbio			1B81_HUMAN	Q31610
111	Tbio	Enzyme	phosphatase	2AAA_HUMAN	P30153
112	Tbio			2B17_HUMAN	P13761
113	Tbio			2B1G_HUMAN	Q29974
114	Tchem	Enzyme		3MG_HUMAN	P29372
115	Tchem	IC	IC	5HT3B_HUMAN	O95264
116	Tchem	IC	IC	5HT3E_HUMAN	A5X5Y0
117	Tdark			A20A2_HUMAN	Q5SQ80
118	Tdark			A20A3_HUMAN	Q5VUR7
119	Tdark			A20A5_HUMAN	A0PJZ0
120	Tdark			A26L1_HUMAN	Q96IX9
121	Tdark			A30BL_HUMAN	A7E2S9
122	Tbio	Enzyme	glycosyltransferase	A4GCT_HUMAN	Q9UNA3
123	Tchem			A4_HUMAN	P05067
124	Tbio	Transporter	SLC7A_transporter	AAA1_HUMAN	Q9NS82
125	Tbio	Enzyme		AAKB2_HUMAN	O43741
126	Tbio	Enzyme		AAKG2_HUMAN	Q9UGJ0
127	Tbio			AAMP_HUMAN	Q13685
128	Tdark	Enzyme		AATC2_HUMAN	Q8NHS2
129	Tbio	Enzyme		AATC_HUMAN	P17174
130	Tbio			AATF_HUMAN	Q9NY61
131	Tbio			ABRA_HUMAN	Q8N0Z2
132	Tbio	Enzyme	ceramidase	ACER1_HUMAN	Q8TDN7
133	Tbio	IC	IC	ACHA5_HUMAN	P30532
134	Tchem	IC	IC	ACHB3_HUMAN	Q05901
135	Tclin	IC	IC	ACHB4_HUMAN	P30926
136	Tbio	GPCR	GPCR	ACKR2_HUMAN	O00590
137	Tchem	GPCR	GPCR	ACKR3_HUMAN	P25106
138	Tbio		actin_family	ACL6A_HUMAN	O96019
139	Tchem	Enzyme		ACOD_HUMAN	O00767
140	Tbio	Enzyme		ACON_HUMAN	Q99798
141	Tdark	Enzyme	C/M/P_thioester_hydrolase	ACOT1_HUMAN	Q86TX2
142	Tbio		14-3-3	1433E_HUMAN	P62258
143	Tbio		14-3-3	1433F_HUMAN	Q04917
144	Tbio		14-3-3	1433G_HUMAN	P61981
145	Tbio		14-3-3	1433T_HUMAN	P27348
146	Tbio		14-3-3	1433Z_HUMAN	P63104
147	Tbio			1A02_HUMAN	P01892
148	Tbio	Enzyme		1A1L1_HUMAN	Q96QU6
149	Tbio			1A25_HUMAN	P18462
150	Tbio			1A33_HUMAN	P16190
151	Tbio			1A66_HUMAN	P30457
152	Tbio			1A69_HUMAN	P10316
153	Tbio			1B18_HUMAN	P30466
154	Tbio			1B35_HUMAN	P30685
155	Tbio			1B39_HUMAN	P30475
156	Tbio			1B42_HUMAN	P30480
157	Tbio			1C05_HUMAN	Q9TNN7
158	Tbio			1C06_HUMAN	Q29963
159	Tbio			1C17_HUMAN	Q95604
160	Tbio	Enzyme	phosphatase	2A5D_HUMAN	Q14738
161	Tbio	Enzyme	phosphatase	2ABG_HUMAN	Q9Y2T4
162	Tbio			2B13_HUMAN	P01912
163	Tbio			2B18_HUMAN	Q30134
164	Tbio			2B1B_HUMAN	P20039
165	Tbio			2B1D_HUMAN	Q5Y7A7
166	Tbio	Enzyme		3HAO_HUMAN	P46952
167	Tchem	IC	IC	5HT3D_HUMAN	Q70Z44
168	Tclin	GPCR	GPCR	5HT4R_HUMAN	Q13639
169	Tdark	Enzyme	aldehyde_dehydrogenase	A16A1_HUMAN	Q8IZ83
170	Tbio	Enzyme	glycosyltransferase	A4GAT_HUMAN	Q9NPC4
171	Tclin	GPCR	GPCR	AA1R_HUMAN	P30542
172	Tdark	Enzyme		AB12B_HUMAN	Q7Z5M8
173	Tbio			ABC3D_HUMAN	Q96AK3
174	Tbio			ABC3H_HUMAN	Q6NTF7
175	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA3_HUMAN	Q99758
176	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA8_HUMAN	O94911
177	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCB5_HUMAN	Q2M3G0
178	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCB6_HUMAN	Q9NP58
179	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCB8_HUMAN	Q9NUT2
180	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCD1_HUMAN	P33897
181	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCD4_HUMAN	O14678
182	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCG8_HUMAN	Q9H221
183	Tdark	Enzyme	AB_hydrolase_superfamily	ABH15_HUMAN	Q6UXT9
184	Tdark	Enzyme	AB_hydrolase_superfamily	ABHD1_HUMAN	Q96SE0
185	Tbio	Enzyme	peptidase	ABHD5_HUMAN	Q8WTS1
186	Tdark	Enzyme	AB_hydrolase_superfamily	ABHD8_HUMAN	Q96I13
187	Tdark	Enzyme	AB_hydrolase_superfamily	ABHEB_HUMAN	Q96IU4
188	Tdark	Enzyme	AB_hydrolase_superfamily	ABHGB_HUMAN	Q9H3Z7
189	Tchem	Kinase	Kinase	ABL2_HUMAN	P42684
190	Tdark			ABRAL_HUMAN	Q9P1F3
191	Tdark		RNA_BP	ABT1_HUMAN	Q9ULW3
192	Tbio	Enzyme	acyl-CoA dehydrogenase	ACADM_HUMAN	P11310
193	Tbio	Enzyme	acyl-CoA dehydrogenase	ACADV_HUMAN	P49748
194	Tbio	Enzyme	acyl-CoA dehydrogenase	ACD10_HUMAN	Q6JQN1
195	Tchem	Enzyme	peptidase	ACE2_HUMAN	Q9BYF1
196	Tclin	IC	IC	ACHA_HUMAN	P02708
197	Tclin	IC	IC	ACHB2_HUMAN	P17787
198	Tbio	Enzyme		ACO11_HUMAN	Q8WXI4
199	Tdark	Enzyme	C/M/P_thioester_hydrolase	ACOT6_HUMAN	Q3I5F7
200	Tbio	Enzyme	C/M/P_thioester_hydrolase	ACOT8_HUMAN	O14734
201	Tbio	Enzyme		ACOX2_HUMAN	Q99424
202	Tbio			1A36_HUMAN	P30455
203	Tbio			1A80_HUMAN	Q09160
204	Tbio			1C02_HUMAN	P30501
205	Tbio			1C03_HUMAN	P04222
206	Tbio			1C08_HUMAN	P30505
207	Tbio			1C15_HUMAN	Q07000
208	Tbio	Enzyme	phosphatase	2A5E_HUMAN	Q16537
209	Tdark			4EBP3_HUMAN	O60516
210	Tbio			4ET_HUMAN	Q9NRA8
211	Tbio	Transporter	SLC3A_transporter	4F2_HUMAN	P08195
212	Tclin	GPCR	GPCR	5HT1A_HUMAN	P08908
213	Tchem	GPCR	GPCR	5HT1E_HUMAN	P28566
214	Tclin	GPCR	GPCR	5HT2B_HUMAN	P41595
215	Tbio	Enzyme	phosphatase	8ODP_HUMAN	P36639
216	Tbio		calycin superfamily	A1AG1_HUMAN	P02763
217	Tbio			A2ML1_HUMAN	A8K2U0
218	Tbio			AAAS_HUMAN	Q9NRG9
219	Tbio			AAGAB_HUMAN	Q6PD74
220	Tbio	Kinase	Kinase	AAKG1_HUMAN	P54619
221	Tdark			AAMDC_HUMAN	Q9H7C9
222	Tchem	Kinase	Kinase	AAPK2_HUMAN	P54646
223	Tdark			AASD1_HUMAN	Q9BTE6
224	Tbio			ABC3A_HUMAN	P31941
225	Tbio			ABC3F_HUMAN	Q8IUX4
226	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA2_HUMAN	Q9BZC7
227	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCD2_HUMAN	Q9UBJ2
228	Tbio			ABEC2_HUMAN	Q9Y235
229	Tdark	Enzyme	AB_hydrolase_superfamily	ABHEA_HUMAN	Q9BUJ0
230	Tchem	Enzyme	AB_hydrolase_superfamily	ABHGA_HUMAN	O95870
231	Tbio			ABI1_HUMAN	Q8IZP0
232	Tclin	Kinase	Kinase	ABL1_HUMAN	P00519
233	Tbio			ABTB1_HUMAN	Q969K4
234	Tdark			ACBD7_HUMAN	Q8N6N7
235	Tbio	Enzyme	acyl-CoA dehydrogenase	ACDSB_HUMAN	P45954
236	Tbio			ACD_HUMAN	Q96AP0
237	Tchem	IC	IC	ACHA6_HUMAN	Q15825
238	Tdark	Enzyme		ACOT9_HUMAN	Q9Y305
239	Tclin			ACPM_HUMAN	O14561
240	Tdark	Enzyme	ATP=dependent_AMP-binding	ACSF2_HUMAN	Q96CM8
241	Tbio	Enzyme	ATP=dependent_AMP-binding	ACSL3_HUMAN	O95573
242	Tbio	Enzyme	ATP=dependent_AMP-binding	ACSL6_HUMAN	Q9UKU0
243	Tdark	Enzyme	ATP=dependent_AMP-binding	ACSS3_HUMAN	Q9H6R3
244	Tdark		actin_family	ACTBM_HUMAN	Q9BYX7
245	Tbio		actin_family	ACTC_HUMAN	P68032
246	Tbio		actin_family	ACTS_HUMAN	P68133
247	Tbio		actin_family	ACTT1_HUMAN	Q8TDG2
248	Tdark		actin_family	ACTT3_HUMAN	Q9BYD9
249	Tbio	Kinase	Kinase	ACV1C_HUMAN	Q8NER5
250	Tbio	Enzyme		ACY2_HUMAN	P45381
251	Tbio			1A11_HUMAN	P13746
252	Tbio			1A43_HUMAN	P30456
253	Tbio			1A74_HUMAN	P30459
254	Tbio			1B08_HUMAN	P30460
255	Tbio			1B15_HUMAN	P30464
256	Tbio			1B38_HUMAN	Q95365
257	Tbio			1B46_HUMAN	P30484
258	Tbio			1B53_HUMAN	P30491
259	Tbio			1B56_HUMAN	P30495
260	Tbio			1B58_HUMAN	P10319
261	Tbio			1B67_HUMAN	Q29836
262	Tbio			1B82_HUMAN	Q29718
263	Tbio			1C18_HUMAN	Q29865
264	Tbio	Enzyme	phosphatase	2A5G_HUMAN	Q13362
265	Tbio	Enzyme	phosphatase	2AAB_HUMAN	P30154
266	Tbio			2B14_HUMAN	P13760
267	Tbio			2B1A_HUMAN	Q30167
268	Tbio			2B1C_HUMAN	Q95IE3
269	Tbio			2B1F_HUMAN	P01911
270	Tbio	Enzyme		3HIDH_HUMAN	P31937
271	Tclin	GPCR	GPCR	5HT1B_HUMAN	P28222
272	Tclin	IC	IC	5HT3A_HUMAN	P46098
273	Tchem	GPCR	GPCR	5HT5A_HUMAN	P47898
274	Tchem	GPCR	GPCR	5HT6R_HUMAN	P50406
275	Tbio	Enzyme		6PGL_HUMAN	O95336
276	Tbio			A16L2_HUMAN	Q8NAA4
277	Tdark			A4AS1_HUMAN	Q5T5F5
278	Tchem	GPCR	GPCR	AA3R_HUMAN	P0DMS8
279	Tbio	Enzyme		AAKG3_HUMAN	Q9UGI9
280	Tbio	Enzyme		AATM_HUMAN	P00505
281	Tdark	Enzyme	AB_hydrolase_superfamily	AB17C_HUMAN	Q6PCB6
282	Tbio			AB1IP_HUMAN	Q7Z5R6
283	Tbio	Enzyme	AB_hydrolase_superfamily	ABHD2_HUMAN	P08910
284	Tdark	Enzyme	peptidase	ABHD4_HUMAN	Q8TB40
285	Tdark	Enzyme	AB_hydrolase_superfamily	ABHDB_HUMAN	Q8NFV4
286	Tbio			ABI2_HUMAN	Q9NYB9
287	Tbio	Enzyme	acyl-CoA dehydrogenase	ACAD9_HUMAN	Q9H845
288	Tbio	Enzyme	acyl-CoA dehydrogenase	ACADS_HUMAN	P16219
289	Tdark			ACAP2_HUMAN	Q15057
290	Tdark			ACBD4_HUMAN	Q8NC06
291	Tclin	Enzyme	peptidase	ACE_HUMAN	P12821
292	Tclin	IC	IC	ACHA4_HUMAN	P43681
293	Tbio		actin_family	ACL6B_HUMAN	O94805
294	Tchem	Enzyme		ACLY_HUMAN	P53396
295	Tclin	GPCR	GPCR	ACM1_HUMAN	P11229
296	Tclin	GPCR	GPCR	ACM2_HUMAN	P08172
297	Tclin	GPCR	GPCR	ACM3_HUMAN	P20309
298	Tclin	GPCR	GPCR	ACM4_HUMAN	P08173
299	Tbio	Enzyme		ACO12_HUMAN	Q8WYK0
300	Tdark	Enzyme		ACOX3_HUMAN	O15254
301	Tbio	Enzyme	ATP=dependent_AMP-binding	ACS2A_HUMAN	Q08AH3
302	Tbio	Enzyme	ATP=dependent_AMP-binding	ACSF3_HUMAN	Q4G176
303	Tdark		actin_family	ACTY_HUMAN	P42025
304	Tchem	Kinase	Kinase	ACVR1_HUMAN	Q04771
305	Tdark	Enzyme		ADA18_HUMAN	Q9Y3Q7
306	Tclin	GPCR	GPCR	ADA1A_HUMAN	P35348
307	Tbio	Enzyme		ADA23_HUMAN	O75077
308	Tbio	Enzyme		ADA29_HUMAN	Q9UKF5
309	Tdark	Enzyme	adenosine_and _AMP_deaminases	ADAL_HUMAN	Q6DHV7
310	Tdark	Enzyme		ADAT2_HUMAN	Q7Z6V5
311	Tbio	Enzyme		ADCY2_HUMAN	Q08462
312	Tbio	Enzyme		ADCY9_HUMAN	O60503
313	Tchem	Enzyme		ADCYA_HUMAN	Q96PN6
314	Tbio	Enzyme	aldolase_class2	ADDB_HUMAN	P35612
315	Tchem	Enzyme	phosphatase	2ABA_HUMAN	P63151
316	Tbio			41_HUMAN	P11171
317	Tchem	IC	IC	5HT3C_HUMAN	Q8WXA8
318	Tbio	Enzyme		5NTC_HUMAN	P49902
319	Tbio			7B2_HUMAN	P05408
320	Tbio			A16L1_HUMAN	Q676U5
321	Tbio			A1BG_HUMAN	P04217
322	Tdark			A20A1_HUMAN	Q5TYW2
323	Tdark			A20A4_HUMAN	Q4UJ75
324	Tbio		serpin_family	A2AP_HUMAN	P08697
325	Tbio	Transporter	SLC1A_transporter	AAAT_HUMAN	Q15758
326	Tdark			AAS1_HUMAN	P86434
327	Tclin	Transporter	ATP_binding_cassette_Transporter	ABCA1_HUMAN	O95477
328	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA5_HUMAN	Q8WWZ7
329	Tdark	Transporter	ATP_binding_cassette_Transporter	ABCAB_HUMAN	Q4W5N1
330	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCAC_HUMAN	Q86UK0
331	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCB7_HUMAN	O75027
332	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCBA_HUMAN	Q9NRK6
333	Tclin	Transporter	ATP_binding_cassette_Transporter	ABCC8_HUMAN	Q09428
334	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCG4_HUMAN	Q9H172
335	Tchem	Enzyme	AB_hydrolase_superfamily	ABHD6_HUMAN	Q9BV23
336	Tdark			ABLM2_HUMAN	Q6H8Q1
337	Tdark			ABLM3_HUMAN	O94929
338	Tdark			ABTB2_HUMAN	Q8N961
339	Tchem	Enzyme		ACACA_HUMAN	Q13085
340	Tchem	Enzyme		ACACB_HUMAN	O00763
341	Tbio	Enzyme	ATP=dependent_AMP-binding	ACBG1_HUMAN	Q96GR2
342	Tbio	Enzyme	ceramidase	ACER3_HUMAN	Q9NUN7
343	Tclin	IC	IC	ACHA3_HUMAN	P32297
344	Tclin	IC	IC	ACHD_HUMAN	Q07001
345	Tbio	GPCR	GPCR	ACKR1_HUMAN	Q16570
346	Tdark		actin_family	ACL10_HUMAN	Q5JWF8
347	Tbio	Enzyme	thioesterase	ACO15_HUMAN	Q8N1Q8
348	Tdark	Enzyme		ACSF4_HUMAN	Q4L235
349	Tbio		actin_family	ACTH_HUMAN	P63267
350	Tchem	Kinase	Kinase	ACVL1_HUMAN	P37023
351	Tbio	Enzyme	peptidase	ACY1_HUMAN	Q03154
352	Tbio	Enzyme	phosphatase	ACYP2_HUMAN	P14621
353	Tclin	GPCR	GPCR	ADA2A_HUMAN	P08913
354	Tdark	Enzyme		ADAD2_HUMAN	Q8NCV1
355	Tdark	Enzyme		ADAM5_HUMAN	Q6NVV9
356	Tbio	Enzyme		ADAS_HUMAN	O00116
357	Tdark	Enzyme		ADAT3_HUMAN	Q96EY9
358	Tbio	Kinase	Kinase	ADCK3_HUMAN	Q8NI60
359	Tbio	Enzyme		ADCY3_HUMAN	O60266
360	Tbio			ADIRF_HUMAN	Q15847
361	Tbio			ADM2_HUMAN	Q7Z4H4
362	Tbio			ADSV_HUMAN	Q9Y6U3
363	Tbio			AEBP1_HUMAN	Q8IUX7
364	Tbio			AF1L2_HUMAN	Q8N4X5
365	Tbio	TF	TF	AFF3_HUMAN	P51826
366	Tclin	Enzyme	glycosyl_hydrolase	AGAL_HUMAN	P06280
367	Tdark	Enzyme	GTPase	AGAP6_HUMAN	Q5VW22
368	Tdark	Enzyme	GTPase	AGAP9_HUMAN	Q5VTM2
369	Tbio			4EBP2_HUMAN	Q13542
370	Tclin	GPCR	GPCR	5HT1D_HUMAN	P28221
371	Tchem	GPCR	GPCR	5HT1F_HUMAN	P30939
372	Tclin	GPCR	GPCR	5HT2C_HUMAN	P28335
373	Tbio	Enzyme		5NT3A_HUMAN	Q9H0P0
374	Tdark			A14EL_HUMAN	P0DKL9
375	Tbio		calycin superfamily	A1AG2_HUMAN	P19652
376	Tbio		serpin_family	A1AT_HUMAN	P01009
377	Tbio		RNA_BP	A1CF_HUMAN	Q9NQ94
378	Tdark			A2012_HUMAN	Q8NF67
379	Tdark			AAED1_HUMAN	Q7RTV5
380	Tchem	Kinase	Kinase	AAK1_HUMAN	Q2M2I8
381	Tbio	Kinase	Kinase	AAKB1_HUMAN	Q9Y478
382	Tchem	Kinase	Kinase	AAPK1_HUMAN	Q13131
383	Tdark	Enzyme	AB_hydrolase_superfamily	AB17A_HUMAN	Q96GS6
384	Tbio			ABC3C_HUMAN	Q9NRW3
385	Tclin	Transporter	ATP_binding_cassette_Transporter	ABCC9_HUMAN	O60706
386	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCD3_HUMAN	P28288
387	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCE1_HUMAN	P61221
388	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCF1_HUMAN	Q8NE71
389	Tchem	Transporter	ATP_binding_cassette_Transporter	ABCG2_HUMAN	Q9UNQ0
390	Tbio			ABEC1_HUMAN	P41238
391	Tbio			ABR_HUMAN	Q12979
392	Tbio			ACAP1_HUMAN	Q15027
393	Tdark			ACBD5_HUMAN	Q5T8D3
394	Tclin	Enzyme	type-B carboxylesterase/lipase	ACES_HUMAN	P22303
395	Tclin	IC	IC	ACHB_HUMAN	P11230
396	Tchem	Kinase	Kinase	ACK1_HUMAN	Q07912
397	Tbio		actin_family	ACL7B_HUMAN	Q9Y614
398	Tbio	Enzyme	peptidase	ACPH_HUMAN	P13798
399	Tbio			ACRC_HUMAN	Q96QF7
400	Tbio	Enzyme	ATP=dependent_AMP-binding	ACSL5_HUMAN	Q9ULC5
401	Tbio	Enzyme		ACY3_HUMAN	Q96HD9
402	Tbio	Enzyme	phosphatase	ACYP1_HUMAN	P07311
403	Tchem	Enzyme	peptidase	ADA10_HUMAN	O14672
404	Tchem	Enzyme		ADA12_HUMAN	O43184
405	Tbio	Enzyme	peptidase	ADA15_HUMAN	Q13444
406	Tchem	Enzyme	peptidase	ADA17_HUMAN	P78536
407	Tbio			ADAP1_HUMAN	O75689
408	Tclin	Enzyme	adenosine_and _AMP_deaminases	ADA_HUMAN	P00813
409	Tdark	Enzyme		ADCL3_HUMAN	Q5VUY0
410	Tdark			ADIG_HUMAN	Q0VDE8
411	Tdark			AEGP_HUMAN	Q6UXC1
412	Tdark			AF1L1_HUMAN	Q8TED9
413	Tbio	TF	TF	AFF1_HUMAN	P51825
414	Tdark	Enzyme	GTPase	AGA11_HUMAN	Q8TF27
415	Tbio			AGFG1_HUMAN	P52594
416	Tbio	Enzyme		AGM1_HUMAN	O95394
417	Tbio			AGO3_HUMAN	Q9H9G7
418	Tbio	GPCR	GPCR	AGRD1_HUMAN	Q6QNK2
419	Tbio	GPCR	GPCR	AGRE2_HUMAN	Q9UHX3
420	Tbio	GPCR	GPCR	AGRF5_HUMAN	Q8IZF2
421	Tdark	GPCR	GPCR	AGRG4_HUMAN	Q8IZF6
422	Tdark	GPCR	GPCR	AGRG7_HUMAN	Q96K78
423	Tbio			AGRIN_HUMAN	O00468
424	Tbio	GPCR	GPCR	AGRL2_HUMAN	O95490
425	Tclin	GPCR	GPCR	AGTR1_HUMAN	P30556
426	Tbio			AHSP_HUMAN	Q9NZD4
427	Tbio			AIFM2_HUMAN	Q9BRQ8
428	Tbio	Enzyme		AIMP1_HUMAN	Q12904
429	Tbio		intermediate_filament_family.	AINX_HUMAN	Q16352
430	Tchem	Enzyme	ceramidase	ACER2_HUMAN	Q5QJU3
431	Tbio	IC	IC	ACH10_HUMAN	Q9GZZ6
432	Tchem	IC	IC	ACHA2_HUMAN	Q15822
433	Tchem	IC	IC	ACHA7_HUMAN	P36544
434	Tbio	IC	IC	ACHA9_HUMAN	Q9UGM1
435	Tclin	IC	IC	ACHE_HUMAN	Q04844
436	Tclin	IC	IC	ACHG_HUMAN	P07510
437	Tbio			ACINU_HUMAN	Q9UKV3
438	Tbio		actin_family	ACL7A_HUMAN	Q9Y615
439	Tbio	Enzyme		ACMSD_HUMAN	Q8TDX5
440	Tbio	Enzyme	thioesterase	ACO13_HUMAN	Q9NPJ3
441	Tbio	Enzyme		ACOC_HUMAN	P21399
442	Tbio	Enzyme	C/M/P_thioester_hydrolase	ACOT2_HUMAN	P49753
443	Tbio	Enzyme	C/M/P_thioester_hydrolase	ACOT4_HUMAN	Q8N9L9
444	Tbio	Enzyme		ACOX1_HUMAN	Q15067
445	Tdark	Enzyme		ACOXL_HUMAN	Q9NUZ1
