#virProtID	proteinName
213	full_polyprotein 1..645 (gene: env)
214	full_polyprotein 1..536 (gene: gag)
215	full_polyprotein 1..1733 (gene: gag-pro-pol)
216	full_polyprotein 1..645 (gene: env)
217	full_polyprotein 1..536 (gene: gag)
218	full_polyprotein 1..645 (gene: env)
219	full_polyprotein 1..1733 (gene: gag-pro-pol)
220	full_polyprotein 1..536 (gene: gag)
221	full_polyprotein 1..1699
222	ORF3 protein
223	capsid protein
224	minor structural protein
225	major structural protein
226	full_polyprotein 1..1699
227	full_polyprotein 1..1799
228	VP2 (gene: VP2)
229	VP1 (gene: VP1)
230	VP1 (gene: VP1)
231	VP2 (gene: VP2)
232	full_polyprotein 1..1799
233	VP2 (gene: VP2)
234	VP1 (gene: VP1)
235	AKB94549.1 full_polyprotein 1..1702 (gene: ORF1)
236	ORF1
237	VP2
238	VP1
239	full_polyprotein 1..1699
240	VP1 (gene: VP1)
241	VP2 (gene: VP2)
242	VP2 (gene: VP2)
243	full_polyprotein 1..1699
244	VP1 (gene: VP1)
245	VP1 (gene: VP1)
246	full_polyprotein 1..1699
247	VP2 (gene: VP2)
248	VP2 (gene: VP2)
249	full_polyprotein 1..1711
250	VP1 (gene: VP1)
251	VP2 (gene: VP2)
252	VP1 (gene: VP1)
253	full_polyprotein 1..1699
254	VP2 (gene: VP2)
255	VP1 (gene: VP1)
256	full_polyprotein 1..1698
257	VP2 (gene: VP2)
258	VP1 (gene: VP1)
259	full_polyprotein 1..1697
260	VP2 (gene: VP2)
261	full_polyprotein 1..1698
262	VP1 (gene: VP1)
263	VP2 (gene: VP2)
264	VP1 (gene: VP1)
265	full_polyprotein 1..1699
266	full_polyprotein 1..1697
267	VP2 (gene: VP2)
268	VP1 (gene: VP1)
269	VP1 (gene: VP1)
270	full_polyprotein 1..1697
271	VP2 (gene: VP2)
272	full_polyprotein 1..1699
273	VP1 (gene: VP1)
274	VP2 (gene: VP2)
275	full_polyprotein 1..1697
276	VP2 (gene: VP2)
277	VP1 (gene: VP1)
278	VP2 (gene: VP2)
279	full_polyprotein 1..1693
280	VP1 (gene: VP1)
281	full_polyprotein 1..1699
282	VP2 (gene: VP2)
283	VP1 (gene: VP1)
284	VP1 (gene: VP1)
285	full_polyprotein 1..1699
286	VP2 (gene: VP2)
287	VP1 (gene: VP1)
288	full_polyprotein 1..1699
289	VP2 (gene: VP2)
290	VP2 (gene: VP2)
291	VP1 (gene: VP1)
292	full_polyprotein 1..1699
293	full_polyprotein 1..1699
294	VP1 (gene: VP1)
295	VP2 (gene: VP2)
296	VP1 (gene: VP1)
297	full_polyprotein 1..1699
298	VP2 (gene: VP2)
299	full_polyprotein 1..1699
300	VP1 (gene: VP1)
301	VP2 (gene: VP2)
302	full_polyprotein 1..1699
303	VP2 (gene: VP2)
304	VP1 (gene: VP1)
305	nonstructural protein
306	major capsid protein VP1
307	minor capsid protein VP2
308	full_polyprotein 1..1788
309	capsid protein
310	ORF3
311	VP2
312	full_polyprotein 1..1788
313	VP1
314	VP2
315	ORF1
316	VP1
317	VP2
318	VP1
319	ORF1
320	ORF1
321	VP1
322	VP2
323	VP1
324	ORF1
325	VP2
326	ORF1
327	VP2
328	VP1
329	full_polyprotein 1..1701
330	VP2
331	VP1
332	small basic protein VP2
333	full_polyprotein 1..1701
334	capsid protein VP1
335	minor structural protein
336	full_polyprotein 1..1697
337	capsid protein
338	capsid protein
339	VP2
340	full_polyprotein 1..1699
341	major capsid protein VP1
342	minor capsid protein VP2
343	nonstructural protein
344	full_polyprotein 1..1699
345	VP2
346	VP1
347	full_polyprotein 1..1699
348	VP1
349	VP2
350	VP2
351	full_polyprotein 1..1699
352	VP1
353	VP1
354	VP2
355	full_polyprotein 1..1699
356	full_polyprotein 1..1699
357	VP2
358	VP1
359	full_polyprotein 1..1699
360	VP2
361	VP1
362	full_polyprotein 1..1699
363	VP2
364	VP1
365	full_polyprotein 1..1699
366	VP1
367	VP2
368	minor capsid protein
369	major capsid protein
370	full_polyprotein 1..1699
371	full_polyprotein 1..1699
372	minor viral capsid protein
373	major viral capsid protein
374	major viral capsid protein
375	full_polyprotein 1..1699
376	minor viral capsid protein
377	minor viral capsid protein (gene: VP2)
378	full_polyprotein 1..1699
379	major viral capsid protein (gene: VP1)
380	minor viral capsid protein (gene: VP2)
381	full_polyprotein 1..1699
382	major viral capsid protein (gene: VP1)
383	VP2
384	full_polyprotein 1..1699
385	VP1
386	VP1
387	full_polyprotein 1..1699
388	VP2
389	full_polyprotein 1..1699
390	VP1
391	VP2
392	VP2
393	full_polyprotein 1..1699
394	VP1
395	capsid protein
396	full_polyprotein 1..1699
397	VP2
398	full_polyprotein 1..1699
399	minor capsid protein
400	major capsid protein
401	minor capsid protein
402	full_polyprotein 1..1699
403	major capsid protein
404	major capsid protein VP1
405	nonstructural protein
406	minor capsid protein VP2
407	VP2
408	VP1
409	full_polyprotein 1..1699
410	VP1
411	full_polyprotein 1..1699
412	VP2
413	VP2
414	full_polyprotein 1..1699
415	VP1
416	full_polyprotein 1..1699
417	VP2
418	VP1
419	major capsid protein
420	minor capsid protein
421	full_polyprotein 1..1699
422	minor capsid protein
423	full_polyprotein 1..1699
424	major capsid protein
425	full_polyprotein 1..1699
426	VP1
427	VP2
428	full_polyprotein 1..1699
429	VP2
430	VP1
431	full_polyprotein 1..1699
432	VP1
433	VP2
434	full_polyprotein 1..1699
435	minor capsid protein
436	major capsid protein
437	full_polyprotein 1..1699
438	VP1
439	VP2
440	VP2
441	full_polyprotein 1..1699
442	VP1
443	VP1
444	VP2
445	full_polyprotein 1..1699
446	full_polyprotein 1..1697
447	major viral capsid protein (gene: VP1)
448	minor viral capsid protein (gene: VP2)
449	full_polyprotein 1..1701
450	VP1
451	VP2
452	full_polyprotein 1..1701
453	VP2
454	VP1
455	nonstructural protein
456	minor capsid protein
457	major capsid protein
458	major capsid protein
459	nonstructural protein
460	minor capsid protein
461	major capsid protein
462	nonstructural protein
463	minor capsid protein
464	major capsid protein
465	nonstructural protein
466	minor capsid protein
467	nonstructural protein
468	major capsid protein
469	minor capsid protein
470	full_polyprotein 1..1699
471	VP1
472	VP2
473	capsid protein
474	full_polyprotein 1..1699
475	VP2
476	full_polyprotein 1..1699
477	major viral capsid protein (gene: VP1)
478	minor viral capsid protein (gene: VP2)
479	full_polyprotein 1..1699
480	minor viral capsid protein (gene: VP2)
481	major viral capsid protein (gene: VP1)
482	minor viral capsid protein (gene: VP2)
483	full_polyprotein 1..1699
484	major viral capsid protein (gene: VP1)
485	full_polyprotein 1..1699
486	minor viral capsid protein (gene: VP2)
487	major viral capsid protein (gene: VP1)
488	full_polyprotein 1..1699
489	major viral capsid protein (gene: VP1)
490	minor viral capsid protein (gene: VP2)
491	minor viral capsid protein (gene: VP2)
492	major viral capsid protein
493	full_polyprotein 1..1699
494	full_polyprotein 1..1699
495	minor viral capsid protein (gene: VP2)
496	major viral capsid protein (gene: VP1)
497	minor viral capsid protein (gene: VP2)
498	full_polyprotein 1..1699
499	major viral capsid protein (gene: VP1)
500	full_polyprotein 1..1699
501	major viral capsid protein (gene: VP1)
502	minor viral capsid protein (gene: VP2)
503	minor viral capsid protein (gene: VP2)
504	full_polyprotein 1..1699
505	major viral capsid protein (gene: VP1)
506	full_polyprotein 1..1699
507	minor viral capsid protein
508	major viral capsid protein
509	minor viral capsid protein (gene: VP2)
510	major viral capsid protein (gene: VP1)
511	full_polyprotein 1..1699
512	full_polyprotein 1..1699
513	minor viral capsid protein (gene: VP2)
514	major viral capsid protein (gene: VP1)
515	minor viral capsid protein (gene: VP2)
516	full_polyprotein 1..1699
517	major viral capsid protein (gene: VP1)
518	minor viral capsid protein (gene: VP2)
519	full_polyprotein 1..1699
520	major viral capsid protein
521	minor viral capsid protein (gene: VP2)
522	major viral capsid protein (gene: VP1)
523	full_polyprotein 1..1699
524	major viral capsid protein (gene: VP1)
525	full_polyprotein 1..1699
526	minor viral capsid protein (gene: VP2)
527	full_polyprotein 1..1699
528	major viral capsid protein (gene: VP1)
529	minor viral capsid protein (gene: VP2)
530	full_polyprotein 1..1699
531	minor viral capsid protein (gene: VP2)
532	major viral capsid protein (gene: VP1)
533	full_polyprotein 1..1699
534	minor viral capsid protein (gene: VP2)
535	major viral capsid protein (gene: VP1)
536	minor viral capsid protein (gene: VP2)
537	major viral capsid protein (gene: VP1)
538	full_polyprotein 1..1699
539	minor viral capsid protein (gene: VP2)
540	full_polyprotein 1..1699
541	major viral capsid protein (gene: VP1)
542	minor viral capsid protein (gene: VP2)
543	full_polyprotein 1..1699
544	major viral capsid protein (gene: VP1)
545	major viral capsid protein (gene: VP1)
546	minor viral capsid protein (gene: VP2)
547	full_polyprotein 1..1699
548	full_polyprotein 1..1699
549	minor viral capsid protein (gene: VP2)
550	major viral capsid protein (gene: VP1)
551	minor viral capsid protein (gene: VP2)
552	major viral capsid protein (gene: VP1)
553	full_polyprotein 1..1699
554	minor viral capsid protein (gene: VP2)
555	full_polyprotein 1..1699
556	major viral capsid protein (gene: VP1)
557	minor viral capsid protein (gene: VP2)
558	major viral capsid protein (gene: VP1)
559	full_polyprotein 1..1699
560	VP2
561	capsid protein
562	full_polyprotein 1..1699
563	minor structural protein
564	major capsid protein
565	full_polyprotein 1..1687
566	full_polyprotein 1..1687
567	VP1
568	VP2
569	VP2
570	VP1
571	full_polyprotein 1..1698
572	VP2
573	full_polyprotein 1..1699
574	VP1
575	full_polyprotein 1..1697
576	hypothetical protein
577	capsid protein
578	putative replication associated protein (gene: rep)
579	putative 15-kDa protein
580	putative capsid protein (gene: cap)
581	hypothetical protein
582	RNA-dependent RNA polymerase
583	hypothetical protein
584	replication associated protein (gene: Rep)
585	putative ORF3 protein (gene: ORF3)
586	capsid protein (gene: Cap)
587	full_polyprotein 1..1148
588	nonstructural protein
589	nucleocapsid protein
590	full_polyprotein 1..1849 (gene: nsP123)
591	full_polyprotein 1..2467 (gene: nsP1234)
592	full_polyprotein 1..1253 (gene: C-E3-E2-6K-E1)
593	Coat protein
594	ORF1 protein
595	ORF2 protein
596	hypothetical protein
597	hypothetical protein
598	full_polyprotein 1..2280
599	ORF2
600	ORF3
601	full_polyprotein 1..2290
602	unknown, (Calicivirus minor structural protein) (gene: ORF2)
603	unknown, (Protein of unknown function DUF1478) (gene: ORF3)
604	VP1
605	excised_polyprotein 1..1720
606	hypothetical protein
607	capsid protein
608	RNA-dependent RNA polymerase (gene: L)
609	glycoprotein precusor
610	nucleocapsid protein
611	viral protein 2 (gene: ORF3)
612	full_polyprotein 1..1699 (gene: ORF1)
613	viral protein 1 (gene: ORF2)
614	hypothetical protein
615	hypothetical protein
616	hypothetical protein
617	ORF1
618	ORF2
619	ORF3
620	hypothetical protein
621	hypothetical protein
622	hypothetical protein
623	hypothetical protein
624	hypothetical protein
625	hypothetical protein
626	hypothetical protein
627	hypothetical protein
628	hypothetical protein
629	hypothetical protein
630	hypothetical protein
631	hypothetical protein
632	ORF2
633	ORF3
634	ORF1
635	hypothetical protein
636	hypothetical protein
637	hypothetical protein
638	VP3 (gene: orf2/5)
639	VP2 (gene: orf2/4)
640	VP1 (gene: orf1)
641	hypothetical protein
642	hypothetical protein
643	hypothetical protein
644	pORF3 (gene: ORF3)
645	pORF1 (gene: ORF1)
646	pORF2 (gene: ORF2)
647	hypothetical protein
648	hypothetical protein
649	hypothetical protein
650	NS1 (gene: NS1)
651	NP-1 (gene: NP-1)
652	VP1 (gene: VP1)
653	VP2 (gene: VP2)
654	nonstructural protein (gene: NP1)
655	capsid protein
656	capsid protein
657	nonstructural protein (gene: NS1)
658	VP2
659	NP1
660	NS1
661	VP1
662	NS1
663	NP1
664	VP1
665	VP2
666	NS1
667	VP1
668	NP1
669	VP2
670	VP2
671	VP1
672	NS1
673	NP1
674	NP1
675	NS1
676	VP1
677	VP2
678	NP1
679	VP1
680	VP2
681	NS1
682	VP1 (gene: VP1)
683	NP1 (gene: NP1)
684	NS1 (gene: NS1)
685	VP2 (gene: VP2)
686	VP1 (gene: VP1)
687	NP1 (gene: NP1)
688	NS1 (gene: NS1)
689	VP2 (gene: VP2)
690	NP1 (gene: NP1)
691	VP1 (gene: VP1)
692	VP2 (gene: VP2)
693	NS1 (gene: NS1)
694	VP2
695	putative VP1
696	NS1
697	hypothetical protein
698	N protein
699	full_polyprotein 1..1433
700	hypothetical protein
701	NSs protein
702	full_polyprotein 1..1320
703	nonstructural protein
704	nucleocapsid
705	L protein
706	full_polyprotein 1..1248
707	transframe fusion protein
708	full_polyprotein 1..2474
709	excised_polyprotein 1..748
710	hypothetical protein (gene: ORF2)
711	hypothetical protein (gene: ORF1)
712	putative Rep protein (gene: ORF3)
713	hypothetical protein (gene: ORF2)
714	putative Rep protein
715	hypothetical protein
716	hypothetical protein
717	hypothetical protein
718	hypothetical protein
719	capsid protein
720	hypothetical protein
721	replication-associated protein
722	L protein
723	glycoprotein precursor
724	G1 protein
725	nucleocapsid protein
726	bel-1
727	pol
728	env
729	gag
730	Z protein
731	L protein
732	nucleocapsid protein
733	glycoprotein precursor
734	large S protein (gene: large S)
735	PC/C protein (gene: PC/C)
736	P protein (gene: P)
737	X protein (gene: X)
738	polymerase (gene: P)
739	envelope protein (gene: preS1/preS2/S)
740	HBc protein (gene: C)
741	X protein (gene: X)
742	HBeAg (gene: preC/C)
743	envelope protein (gene: preS1/preS2/S)
744	X protein (gene: X)
745	polymerase (gene: P)
746	nonstructural S (gene: NSs)
747	polymerase
748	full_polyprotein 1..1076
749	nucleoprotein (gene: NP)
750	full_polyprotein 1..1441 (gene: M)
751	RNA-dependent RNA polymerase (gene: Pol)
752	nucleoprotein (gene: N)
753	non-structural protein (gene: NSs)
754	envelope glycoprotein
755	L protein
756	nucleoprotein
757	hypothetical protein
758	L polymerase
759	nucleocapsid protein
760	Z protein
761	glycoprotein precursor
762	Z protein
763	glycoprotein
764	L protein
765	nucleoprotein
766	glycoprotein precursor
767	multifunctional matrix-like protein
768	large RNA-dependent RNA polymerase
769	nucleocapsid protein
770	nucleocapsid protein
771	glycoprotein precursor
772	Z protein
773	L protein
774	Z protein (gene: Z)
775	L polymerase (gene: L)
776	GPC precursor protein
777	N protein
778	Z protein
779	L protein
780	nucleocapsid protein
781	glycoprotein precursor
782	capsid protein VP2
783	large T antigen
784	small T antigen
785	major capsid protein VP1
786	RNA polymerase
787	full_polyprotein 1..1420 (gene: M)
788	nucleoprotein (gene: N)
789	non-structural protein (gene: NSs)
790	late protein (gene: L1)
791	late protein (gene: L2)
792	early protein (gene: E1)
793	early protein (gene: E2)
794	N protein
795	NS protein
796	L protein
797	M protein
798	nucleocapsid (gene: NP)
799	non-structural protein (gene: NSs)
800	polymerase
801	glycoprotein
802	viral sRNA NS protein
803	RNA-dependant RNA polymerase (gene: TVLRNA)
804	viral sRNA N protein
805	Glycoproteins G1 and G2 precursor
806	full_polyprotein 1..1341
807	nonstructural protein (gene: NSs)
808	polymerase
809	nucleocapsid (gene: N)
810	VP1
811	ORF2
812	excised_polyprotein 1..1719
813	ORF1
814	glycoprotein precursor (gene: GPC)
815	viral RNA polymerase (L protein)
816	nucleocapsid protein
817	putative nonstructural protein
818	env
819	rex
820	tax
821	gag
822	hypothetical protein
823	hypothetical protein
824	hypothetical protein
825	hypothetical protein
826	hypothetical protein
827	hypothetical protein
828	hypothetical protein
829	hypothetical protein
830	hypothetical protein
831	hypothetical protein
832	hypothetical protein
833	hypothetical protein
834	hypothetical protein
835	hypothetical protein
836	hypothetical protein
837	hypothetical protein
838	hypothetical protein
839	hypothetical protein
840	hypothetical protein
841	hypothetical protein
842	hypothetical protein
843	hypothetical protein
844	hypothetical protein
845	hypothetical protein
846	ORF4 (gene: ORF4)
847	ORF1 (gene: ORF1)
848	ORF3 (gene: ORF3)
849	ORF2 (gene: ORF2)
850	hypothetical protein
851	hypothetical protein
852	hypothetical protein
853	hypothetical protein
854	nonstructral protein
855	Glycoproteins G1 and G2 precursor
856	nucleocapsid protein
857	RNA polymerase (L protein)
858	Bet (gene: bel)
859	Gag (gene: gag)
860	Env (gene: env)
861	Pol precursor (gene: pol)
862	Tas (gene: bel)
863	hypothetical protein
864	hypothetical protein
865	hypothetical protein
866	hypothetical protein
867	hypothetical protein
868	NP1 (gene: NP1)
869	capsid protein VP2 (gene: VP2)
870	non structural protein NS2 (gene: NS2)
871	non structural protein NS1 (gene: NS1)
872	capsid protein VP1 (gene: VP1)
873	matrix protein
874	phosphoprotein
875	large protein
876	glycoprotein
877	nucleocapsid protein
878	nucleoprotein (gene: N)
879	polymerase (gene: L)
880	phosphoprotein (gene: P)
881	glycoprotein (gene: G)
882	matrix protein (gene: M)
883	Env (gene: env)
884	Gag (gene: gag)
885	Tas (gene: bel)
886	Pol (gene: pol)
887	Bet (gene: bel)
888	envelope glycoprotein G1 (see comment)
889	envelope glycoprotein G2 (see comment)
890	hypothetical protein
891	hypothetical protein
892	putative polymerase
893	large polymerase protein (gene: L)
894	phosphoprotein (gene: P)
895	nucleocapsid protein (gene: N)
896	glycoprotein (gene: G)
897	matrix protein (gene: M)
898	phosphoprotein
899	matrix protein
900	nucleocapsid protein
901	glycoprotein
902	polymerase
903	polymerase (gene: L)
904	phosphoprotein (gene: P)
905	nucleoprotein (gene: N)
906	matrix protein (gene: M)
907	glycoprotein (gene: G)
908	matrix protein (gene: M)
909	glycoprotein (gene: G)
910	phosphoprotein (gene: P)
911	L protein (gene: L)
912	nucleocapsid protein (gene: N)
913	matrix protein (gene: M)
914	L protein (gene: L)
915	glycoprotein (gene: G)
916	nucleoprotein (gene: N)
917	phosphoprotein (gene: P)
918	nucleoprotein (gene: N)
919	matrix protein (gene: M)
920	L protein (gene: L)
921	phosphoprotein (gene: P)
922	glycoprotein (gene: G)
923	glycoprotein (gene: G)
924	nucleoprotein (gene: N)
925	polymerase (gene: L)
926	phosphoprotein (gene: P)
927	matrix protein (gene: M)
928	phosphoprotein M1 (gene: P)
929	L protein (gene: L)
930	M2 protein (gene: M)
931	transmembrane glycoprotein G (gene: G)
932	nucleoprotein N (gene: N)
933	early protein E2 (gene: E2)
934	major capsid L1 protein (gene: L1)
935	late gene L2 (gene: L2)
936	E1 (gene: E1)
937	early protein E7 (gene: E7)
938	envelope protein (gene: E6)
939	envelope protein (gene: E7)
940	late protein (gene: L1)
941	late protein (gene: L2)
942	envelope protein (gene: E2)
943	VPg protein
944	excised_polyprotein 1..341
945	VP3 protein
946	excised_polyprotein 1566..2209
947	VP1 protein
948	VP1
949	small t antigen
950	large T Antigen
951	VP3
952	VP2
953	VP3 (gene: VP3)
954	small T antigen
955	VP1 (gene: VP1)
956	large T antigen
957	VP2 (gene: VP2)
958	VP1
959	VP3
960	VP2
961	large T antigen
962	small T antigen
963	VP3
964	small T antigen
965	large T antigen
966	VP2
967	VP1
968	VP1
969	VP3
970	small T antigen
971	VP2
972	large T antigen
973	small T antigen protein (gene: small T antigen)
974	VP1 protein (gene: VP1)
975	VP2 protein (gene: VP2)
976	large T antigen protein (gene: large T antigen)
977	VP3 protein (gene: VP3)
978	VP3
979	Major capsid protein VP1
980	Small T antigen
981	VP2/VP3
982	large T antigen
983	large T antigen
984	VP3
985	small T antigen
986	VP2
987	VP1
988	small T antigen
989	major capsid protein VP1 (gene: VP1)
990	capsid protein VP3 (gene: VP3)
991	large T antigen
992	capsid protein VP2 (gene: VP2)
993	small T-antigen
994	VP3
995	VP1
996	VP2
997	large T-antigen
998	structural protein VP1 (gene: VP1)
999	structural protein VP3 (gene: VP3)
1000	small T antigen (gene: T)
1001	large T antigen (gene: T)
1002	structural protein VP2 (gene: VP2)
1003	Major capsid protein VP1
1004	VP2/VP3
1005	VP3
1006	Small T antigen
1007	large T antigen
1008	phosphoprotein M1
1009	L protein
1010	nucleoprotein N
1011	M2 protein
1012	transmembrane glycoprotein G
1013	capsid protein
1014	E1 envelope glycoprotein
1015	protease p150
1016	E2 envelope glycoprotein
1017	RNA-directed RNA
1018	membrane glycoprotein G2
1019	RNA polymerase
1020	hypothetical protein
1021	nonstructural protein (gene: NS)
1022	membrane glycoprotein G1
1023	membrane protein
1024	envelope protein
1025	full_polyprotein 1..6729
1026	spike protein
1027	nucleocapsid protein
1028	protein 3
1029	VP1 protein (gene: VP1)
1030	11-kDa protein (gene: 11-kDa)
1031	X protein (gene: X)
1032	VP2 protein (gene: VP2)
1033	7.5-kDa protein (gene: 7.5-kDa)
1034	NS1 protein (gene: NS1)
1035	envelope protein (gene: env)
1036	full_polyprotein 1..1146 (gene: pol)
1037	gag protein (gene: gag)
1038	bet protein
1039	bet protein fragment
1040	taf protein (gene: taf)
1041	Z protein
1042	glycoprotein G2 (gene: GPC)
1043	glycoprotein precursor (gene: GPC)
1044	nucleocapsid protein (gene: N)
1045	L protein
1046	glycoprotein G1 (gene: GPC)
1047	phosphoprotein (gene: P)
1048	matix (gene: M)
1049	RNA-depedent RNA polymerase (gene: L)
1050	glycoprotein (gene: G)
1051	nucleocapsid (gene: N)
1052	putative C protein
1053	E2 (gene: E2)
1054	E1 (gene: E1)
1055	E7 (gene: E7)
1056	L1 (gene: L1)
1057	L2 (gene: L2)
1058	E6 (gene: E6)
1059	E4 protein
1060	E2 protein
1061	L2 protein
1062	E1
1063	E7 protein
1064	major capsid L1 protein
1065	major capsid L1 protein
1066	E4 protein
1067	L2 protein
1068	E2 protein
1069	E1
1070	E7 protein
1071	E2 protein (gene: E2)
1072	L1 protein (gene: L1)
1073	L2 protein (gene: L2)
1074	E6 protein (gene: E6)
1075	E1 protein (gene: E1)
1076	E7 protein (gene: E7)
1077	L1
1078	E6
1079	E1
1080	L2
1081	E2
1082	E7
1083	L1
1084	E7
1085	L2
1086	E6
1087	E1
1088	E2
1089	early protein (gene: E7)
1090	early protein (gene: E2)
1091	late protein (gene: L1)
1092	late protein (gene: L2)
1093	early protein (gene: E1)
1094	early protein (gene: E6)
1095	early protein (gene: E6)
1096	late protein (gene: L2)
1097	early protein (gene: E7)
1098	early protein (gene: E2)
1099	late protein (gene: L1)
1100	early protein (gene: E1)
1101	early protein E1 (gene: E1)
1102	early protein E7 (gene: E7)
